Tên;B;L;H
Base_14;10.753491667;106.674695000;-0.4235
Tủ THD21;10.753492217;106.674696529;-0.5119
BHN1+THD21;10.753408901;106.674752026;-0.545
BHN1+THD22;10.753374277;106.674790180;-0.2071
BHN2+THD21;10.753201925;106.674807683;-0.4467
BHN3+THD21;10.752947169;106.674880782;-0.4268
TS4NThuc+lấy nguồn;10.752638769;106.674908771;-0.5038
BHN1+NT4;10.752644735;106.674961283;-0.4424
BHN2+NT4;10.752342754;106.675049440;-0.6221
BHN3+NT4;10.752062716;106.675126418;-0.6158
BHN4+NT4;10.751786364;106.675201845;-0.5848
BHN1+HB1;10.751552792;106.675267507;-0.549
tủ HB1;10.751505537;106.675267933;-0.6121
BHN2+HB1;10.751243479;106.675333085;-0.4862
BHN3+HB1;10.750915631;106.675423620;-0.4282
BHN1+PT3;10.753791396;106.674752505;-0.4934
BHN2+PT3;10.754035000;106.674699380;-0.422
BHN3+PT3;10.754272545;106.674647081;-0.2366
BHN4+PT3;10.754595254;106.674578450;0.1638
BHN5+PT3;10.754854156;106.674507641;0.4416
BHN6+PT3;10.755146042;106.674442239;0.733
BHN7+PT3;10.755441984;106.674383322;0.9159
PVT1+PT3;10.754207990;106.673324909;2.9112
PVT2+PT3;10.754300098;106.673585004;3.8613
PVT3+PT3;10.754401547;106.673900170;3.7035
PVT4+PT3;10.754507890;106.674225590;3.9163
PVT5+PT3;10.754709518;106.674826203;0.4351
PVT6+PT3;10.754808673;106.675115355;0.6132
PVT7+PT3;10.754885232;106.675350356;1.4765
PVT8+PT3;10.754978618;106.675643147;1.7267
PVT9+PT3;10.755055516;106.675865476;0.2861
PVT10+PT3;10.755170294;106.676197553;0.8611
PVT11+PT3;10.755248834;106.676478829;0.2727
tủ PT3;10.755228509;106.676495746;0.4552
PVT1+MD;10.755333494;106.676705568;0.2025
PVT2+MD;10.755417724;106.676967103;0.3142
PVT3+MD;10.755515051;106.677262833;0.4638
PVT4+MD+tủ;10.755611808;106.677552614;1.4363
PVT5+MD;10.755706913;106.677834731;0.3808
PVT6+MD;10.755799919;106.678147069;0.6516
PVT7+MD;10.755904880;106.678462879;1.7622
Base_15;10.757445000;106.674308333;9.8766
ADV8+ADVts1;10.757454380;106.674300643;1.7241
ADV8+ADVts2[1];10.757470741;106.674411798;2.5334
ADV8+ADVts2[2];10.757595506;106.674641597;1.7051
ADV8+ADVts3;10.757722058;106.674948956;1.7021
ADV8+ADVts4;10.757830496;106.675220813;1.5592
ADV8+ADVts5;10.757981587;106.675595410;1.645
tủ ADV8;10.757892848;106.675757273;1.3456
ADV8+ADVts6;10.758079736;106.675853807;1.5505
ADV8+ADVts7;10.758185988;106.676105045;1.4496
ADV8+ADVts8;10.758291290;106.676368410;1.4541
ADV8+ADVts9;10.758381812;106.676593565;1.5346
ADV8+ADVts10;10.758484525;106.676846501;1.4103
ADV8+ADVts11;10.758609045;106.677152974;1.6209
ADV8+ADVts12;10.758726494;106.677448232;1.5079
ADV8+ADVts13;10.758727723;106.677446650;1.5359
ADV5+ADVts1;10.758934639;106.677971070;1.5322
tủ ADV5;10.759003363;106.678196321;1.7382
